link,product_name,Price,discount,error
https://www.amazon.in/DJI-Vlogging-Stabilization-Tracking-Photography/dp/B0CG19FGQ5?pd_rd_w=Kgcph&content-id=amzn1.sym.f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_p=f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_r=JRNKSDAS3XHT9321MST1&pd_rd_wg=593X8&pd_rd_r=e904906e-c072-4fb3-ada7-8e36df7a3c28&pd_rd_i=B0CG19FGQ5&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=7ac6bd8a8fb7aa8d8d2d48f89a148926&language=en_IN&ref_=as_li_ss_tl,"DJI Osmo Pocket 3 Creator Combo, Vlogging Camera with 1'' CMOS & 4K/120fps Video, 3-Axis Stabilization, Face/Object Tracking, Fast Focusing, Mic Included for Clear Sound, Small Camera for Photography","₹69,990.0069,990.00",-7%,
https://www.amazon.in/Philips-OneBlade-Irritation-Protection-Technology/dp/B0CZTWY2SW?pd_rd_w=Kgcph&content-id=amzn1.sym.f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_p=f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_r=JRNKSDAS3XHT9321MST1&pd_rd_wg=593X8&pd_rd_r=e904906e-c072-4fb3-ada7-8e36df7a3c28&pd_rd_i=B0CZTWY2SW&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=97f1700c0d8e6ccdbe2ca8dc74ea0e7b&language=en_IN&ref_=as_li_ss_tl,"Philips OneBlade Gen Z Beard & Body Trimmer & Styler|Ideal for 1st Trim|Designed for Skin Comfort, No Nicks & Cuts, Dual Protect Tech| Acne Prone, Patchy Beard, Young Skin, QP 1624/10","₹1,799.001,799.00",-18%,
https://www.amazon.in/Compatible-HL7575-HL7576-Chutany-Jar/dp/B0D841GJZB?pd_rd_w=Kgcph&content-id=amzn1.sym.f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_p=f8d8b87f-14aa-4c03-ad0d-380a0108b532&pf_rd_r=JRNKSDAS3XHT9321MST1&pd_rd_wg=593X8&pd_rd_r=e904906e-c072-4fb3-ada7-8e36df7a3c28&pd_rd_i=B0D841GJZB&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=1a6b2fab6e8d4391027720f7e45bf6cc&language=en_IN&ref_=as_li_ss_tl,"Compatible For P..h..i..l..i..p..s..,HL7575, HL7576 Small Mixer Chutany,Juicer Jar (330 ml)",₹490.00490.00,-53%,
https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484?_encoding=UTF8&pd_rd_w=Z43x8&content-id=amzn1.sym.9deee4ef-467c-4bca-beed-0edb850caaaf&pf_rd_p=9deee4ef-467c-4bca-beed-0edb850caaaf&pf_rd_r=M1EJQY4Z3000EGVA31Q0&pd_rd_wg=wMpnS&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&th=1&linkCode=ll1&tag=afficartzone-21&linkId=88657c73eef2d3113ba0a3122e91a607&language=en_IN&ref_=as_li_ss_tl,VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S,"₹7,299.007,299.00",-57%,
https://www.amazon.in/Samsung-inches-Smart-LED-UA32H4550FUXXL/dp/B0F84FBWQM?_encoding=UTF8&pd_rd_w=Z43x8&content-id=amzn1.sym.9deee4ef-467c-4bca-beed-0edb850caaaf&pf_rd_p=9deee4ef-467c-4bca-beed-0edb850caaaf&pf_rd_r=M1EJQY4Z3000EGVA31Q0&pd_rd_wg=wMpnS&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&linkCode=ll1&tag=afficartzone-21&linkId=5470b0212a2aa0f221fbaa2f851881b6&language=en_IN&ref_=as_li_ss_tl,Samsung 80 cm (32 inches) HD Smart LED TV UA32H4550FUXXL,"₹29,900.00",,
https://www.amazon.in/Redmi-Xiaomi-Ultra-Smart-L43MA-FVIN/dp/B0DV8WXDNX?_encoding=UTF8&pd_rd_w=Z43x8&content-id=amzn1.sym.9deee4ef-467c-4bca-beed-0edb850caaaf&pf_rd_p=9deee4ef-467c-4bca-beed-0edb850caaaf&pf_rd_r=M1EJQY4Z3000EGVA31Q0&pd_rd_wg=wMpnS&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&linkCode=ll1&tag=afficartzone-21&linkId=aaddce317ba8a843512f533dbf37004a&language=en_IN&ref_=as_li_ss_tl,Redmi Xiaomi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32MA-FVIN (Black),"₹11,999.0011,999.00",-52%,
https://www.amazon.in/Symbol-Premium-Oversized-T-Shirt-White_S/dp/B0DPKZ66FP?_encoding=UTF8&content-id=amzn1.sym.9896ea46-3db2-4d98-a9d5-680a3f56c4a4&dib=eyJ2IjoiMSJ9.5fvvziNQYG8AKAWf7GPxgeB1UEfWo6LxlXUnlntv7Xpi4OsFn4nDgZ7ACujyYGpjiTRP_v2VZu4hwLFoIrUilKW31WQiURpjF_R6zxl3AftryuICmZgARqHHaXO-7IOcPUWq06-XJDbSX87MVf1oE7dQygJyOw5UDZzU2rDlAROxi8gdpPN4sHPo8Sg1T2I7h0a5QH2XLoPBljXjNhLr2yicmSSF9i-IZgC6OzB6a-4ezw52BPMvofIhKx5UDVj-XnFkno9dmMzKryNmGqZk1bu-cTVnIJzG_yTh98txp0U.V0R5hpnATKixxLiz1ZAJXOUXnluKNVfx9bvLZhv683Q&dib_tag=se&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&pd_rd_w=Fkpfw&pd_rd_wg=wMpnS&pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-7&qid=1758521443&refinements=p_36%3A40000-%2Cp_n_pct-off-with-tax%3A2665401031%2Cp_85%3A10440599031%2Cp_123%3A1298678%7C156780%7C198664%7C200356%7C232621%7C232755%7C232761%7C232762%7C232763%7C240905%7C256097%7C319726%7C339433%7C373328%7C3878%7C390827%7C398346%7C406102%7C411593%7C435051%7C46245%7C484445%7C573837%7C586466%7C613702%7C709907&rnid=4595083031&rps=1&s=apparel&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl&th=1&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=13d8903712f74fbfe97380ae0ea9a3d7&language=en_IN&ref_=as_li_ss_tl,Symbol Premium Men's Super Soft Cotton Oversized T-Shirt,₹749.00749.00,-50%,
https://www.amazon.in/Bewakoof-Graphic-Printed-Oversized-T-Shirt_620199_Black_M/dp/B0CNPY6FSP?_encoding=UTF8&content-id=amzn1.sym.9896ea46-3db2-4d98-a9d5-680a3f56c4a4&dib=eyJ2IjoiMSJ9.5fvvziNQYG8AKAWf7GPxgeB1UEfWo6LxlXUnlntv7Xpi4OsFn4nDgZ7ACujyYGpjiTRP_v2VZu4hwLFoIrUilKW31WQiURpjF_R6zxl3AftryuICmZgARqHHaXO-7IOcPUWq06-XJDbSX87MVf1oE7dQygJyOw5UDZzU2rDlAROxi8gdpPN4sHPo8Sg1T2I7h0a5QH2XLoPBljXjNhLr2yicmSSF9i-IZgC6OzB6a-4ezw52BPMvofIhKx5UDVj-XnFkno9dmMzKryNmGqZk1bu-cTVnIJzG_yTh98txp0U.V0R5hpnATKixxLiz1ZAJXOUXnluKNVfx9bvLZhv683Q&dib_tag=se&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&pd_rd_w=Fkpfw&pd_rd_wg=wMpnS&pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-7&qid=1758521443&refinements=p_36%3A40000-%2Cp_n_pct-off-with-tax%3A2665401031%2Cp_85%3A10440599031%2Cp_123%3A1298678%7C156780%7C198664%7C200356%7C232621%7C232755%7C232761%7C232762%7C232763%7C240905%7C256097%7C319726%7C339433%7C373328%7C3878%7C390827%7C398346%7C406102%7C411593%7C435051%7C46245%7C484445%7C573837%7C586466%7C613702%7C709907&rnid=4595083031&rps=1&s=apparel&sr=1-6&linkCode=ll1&tag=afficartzone-21&linkId=b3c93bad69b7c61a072963f85bc13f55&language=en_IN&ref_=as_li_ss_tl,"Bewakoof Men's Graphic Printed 100% Cotton T-Shirt - Oversized Fit, Round Neck, Half Sleeves",₹549.00549.00,-58%,
https://www.amazon.in/Louis-Philippe-Solid-T-Shirt-LRKPNSLFL27759_Yellow/dp/B0D4VR5VX7?_encoding=UTF8&content-id=amzn1.sym.9896ea46-3db2-4d98-a9d5-680a3f56c4a4&dib=eyJ2IjoiMSJ9.5fvvziNQYG8AKAWf7GPxgeB1UEfWo6LxlXUnlntv7Xpi4OsFn4nDgZ7ACujyYGpjiTRP_v2VZu4hwLFoIrUilKW31WQiURpjF_R6zxl3AftryuICmZgARqHHaXO-7IOcPUWq06-XJDbSX87MVf1oE7dQygJyOw5UDZzU2rDlAROxi8gdpPN4sHPo8Sg1T2I7h0a5QH2XLoPBljXjNhLr2yicmSSF9i-IZgC6OzB6a-4ezw52BPMvofIhKx5UDVj-XnFkno9dmMzKryNmGqZk1bu-cTVnIJzG_yTh98txp0U.V0R5hpnATKixxLiz1ZAJXOUXnluKNVfx9bvLZhv683Q&dib_tag=se&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&pd_rd_w=Fkpfw&pd_rd_wg=wMpnS&pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-7&qid=1758521443&refinements=p_36%3A40000-%2Cp_n_pct-off-with-tax%3A2665401031%2Cp_85%3A10440599031%2Cp_123%3A1298678%7C156780%7C198664%7C200356%7C232621%7C232755%7C232761%7C232762%7C232763%7C240905%7C256097%7C319726%7C339433%7C373328%7C3878%7C390827%7C398346%7C406102%7C411593%7C435051%7C46245%7C484445%7C573837%7C586466%7C613702%7C709907&rnid=4595083031&rps=1&s=apparel&sr=1-11&linkCode=ll1&tag=afficartzone-21&linkId=b055703dd6f13e368e7d727f3b08a2d9&language=en_IN&ref_=as_li_ss_tl,Louis Philippe Men's Cotton Slim Fit Polo T-Shirt with Fastness,₹980.00980.00,-51%,
https://www.amazon.in/Bewakoof-Graphic-Print-Sleeve-T-Shirt/dp/B09DZ2LRR2?_encoding=UTF8&content-id=amzn1.sym.9896ea46-3db2-4d98-a9d5-680a3f56c4a4&dib=eyJ2IjoiMSJ9.5fvvziNQYG8AKAWf7GPxgeB1UEfWo6LxlXUnlntv7Xpi4OsFn4nDgZ7ACujyYGpjiTRP_v2VZu4hwLFoIrUilKW31WQiURpjF_R6zxl3AftryuICmZgARqHHaXO-7IOcPUWq06-XJDbSX87MVf1oE7dQygJyOw5UDZzU2rDlAROxi8gdpPN4sHPo8Sg1T2I7h0a5QH2XLoPBljXjNhLr2yicmSSF9i-IZgC6OzB6a-4ezw52BPMvofIhKx5UDVj-XnFkno9dmMzKryNmGqZk1bu-cTVnIJzG_yTh98txp0U.V0R5hpnATKixxLiz1ZAJXOUXnluKNVfx9bvLZhv683Q&dib_tag=se&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&pd_rd_w=Fkpfw&pd_rd_wg=wMpnS&pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-7&qid=1758521443&refinements=p_36%3A40000-%2Cp_n_pct-off-with-tax%3A2665401031%2Cp_85%3A10440599031%2Cp_123%3A1298678%7C156780%7C198664%7C200356%7C232621%7C232755%7C232761%7C232762%7C232763%7C240905%7C256097%7C319726%7C339433%7C373328%7C3878%7C390827%7C398346%7C406102%7C411593%7C435051%7C46245%7C484445%7C573837%7C586466%7C613702%7C709907&rnid=4595083031&rps=1&s=apparel&sr=1-10&linkCode=ll1&tag=afficartzone-21&linkId=5ccda581c2c231366c16cdd3d95dd726&language=en_IN&ref_=as_li_ss_tl,Bewakoof Men's Make Tracks Graphic Print Blue Polo Long Sleeve T-Shirt,₹529.00529.00,-47%,
https://www.amazon.in/Bewakoof-Batman-Outline-Printed-T-Shirt/dp/B0BRZW11Y6?_encoding=UTF8&content-id=amzn1.sym.9896ea46-3db2-4d98-a9d5-680a3f56c4a4&dib=eyJ2IjoiMSJ9.5fvvziNQYG8AKAWf7GPxgeB1UEfWo6LxlXUnlntv7Xpi4OsFn4nDgZ7ACujyYGpjiTRP_v2VZu4hwLFoIrUilKW31WQiURpjF_R6zxl3AftryuICmZgARqHHaXO-7IOcPUWq06-XJDbSX87MVf1oE7dQygJyOw5UDZzU2rDlAROxi8gdpPN4sHPo8Sg1T2I7h0a5QH2XLoPBljXjNhLr2yicmSSF9i-IZgC6OzB6a-4ezw52BPMvofIhKx5UDVj-XnFkno9dmMzKryNmGqZk1bu-cTVnIJzG_yTh98txp0U.V0R5hpnATKixxLiz1ZAJXOUXnluKNVfx9bvLZhv683Q&dib_tag=se&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&pd_rd_w=Fkpfw&pd_rd_wg=wMpnS&pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-7&qid=1758521443&refinements=p_36%3A40000-%2Cp_n_pct-off-with-tax%3A2665401031%2Cp_85%3A10440599031%2Cp_123%3A1298678%7C156780%7C198664%7C200356%7C232621%7C232755%7C232761%7C232762%7C232763%7C240905%7C256097%7C319726%7C339433%7C373328%7C3878%7C390827%7C398346%7C406102%7C411593%7C435051%7C46245%7C484445%7C573837%7C586466%7C613702%7C709907&rnid=4595083031&rps=1&s=apparel&sr=1-15&linkCode=ll1&tag=afficartzone-21&linkId=5aa4bf955a4e773dfa51bde8290f8afc&language=en_IN&ref_=as_li_ss_tl,Bewakoof Men's Cotton Oversized Fit T-Shirt,₹549.00549.00,-58%,
https://www.amazon.in/United-Colors-Benetton-T-Shirt-3019J7120I_Navy/dp/B09NL82378?_encoding=UTF8&content-id=amzn1.sym.9896ea46-3db2-4d98-a9d5-680a3f56c4a4&dib=eyJ2IjoiMSJ9.5fvvziNQYG8AKAWf7GPxgeB1UEfWo6LxlXUnlntv7Xpi4OsFn4nDgZ7ACujyYGpjiTRP_v2VZu4hwLFoIrUilKW31WQiURpjF_R6zxl3AftryuICmZgARqHHaXO-7IOcPUWq06-XJDbSX87MVf1oE7dQygJyOw5UDZzU2rDlAROxi8gdpPN4sHPo8Sg1T2I7h0a5QH2XLoPBljXjNhLr2yicmSSF9i-IZgC6OzB6a-4ezw52BPMvofIhKx5UDVj-XnFkno9dmMzKryNmGqZk1bu-cTVnIJzG_yTh98txp0U.V0R5hpnATKixxLiz1ZAJXOUXnluKNVfx9bvLZhv683Q&dib_tag=se&pd_rd_r=9ddd8ace-caa1-4f4a-be85-b00b3f79d927&pd_rd_w=Fkpfw&pd_rd_wg=wMpnS&pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-7&qid=1758521443&refinements=p_36%3A40000-%2Cp_n_pct-off-with-tax%3A2665401031%2Cp_85%3A10440599031%2Cp_123%3A1298678%7C156780%7C198664%7C200356%7C232621%7C232755%7C232761%7C232762%7C232763%7C240905%7C256097%7C319726%7C339433%7C373328%7C3878%7C390827%7C398346%7C406102%7C411593%7C435051%7C46245%7C484445%7C573837%7C586466%7C613702%7C709907&rnid=4595083031&rps=1&s=apparel&sr=1-23-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=89fe18d27d723cd26ae2821b7540043a&language=en_IN&ref_=as_li_ss_tl,United Colors of Benetton Men's Slim T-Shirt (3019J7120I_Navy XL),₹939.00,,
https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8?crid=DRDUUX0HS8K&dib=eyJ2IjoiMSJ9.mMZWI-OkB7fm1q5viCKYEyd74OtmI3cuJpsUEQeGbi9LQZ8QP1YEx8SBYQX2TxtgTAAtTFJnOCVlBgJkrecCxLzVLXR4D_E8CiLxLKnVaEvJR8tg40rdafBPpTS8SCRpor5lV1Lyzio6VUu3jejz5fP8ymfjXmJ5pUtqUUZith2oiMQ982QKqd1PRaiqYlMQM6ppGgxwtyhkX8rCveTwPsiJtxEnCk3boppNS0PPlhg.pDuYQd8-JcJ42PzyDlfoFYpZlcLXynsnBHv7lf0arpw&dib_tag=se&keywords=LAPTOPS&qid=1758521778&sprefix=lapto%2Caps%2C300&sr=8-4&linkCode=ll1&tag=afficartzone-21&linkId=b8aadd247d882786fbb7cd82cd331ccd&language=en_IN&ref_=as_li_ss_tl,"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop","₹29,999.0029,999.00",-36%,
https://www.amazon.in/HP-Professional-15-Intel-1334U/dp/B0FPBK86B8?crid=DRDUUX0HS8K&dib=eyJ2IjoiMSJ9.mMZWI-OkB7fm1q5viCKYEyd74OtmI3cuJpsUEQeGbi9LQZ8QP1YEx8SBYQX2TxtgTAAtTFJnOCVlBgJkrecCxLzVLXR4D_E8CiLxLKnVaEvJR8tg40rdafBPpTS8SCRpor5lV1Lyzio6VUu3jejz5fP8ymfjXmJ5pUtqUUZith2oiMQ982QKqd1PRaiqYlMQM6ppGgxwtyhkX8rCveTwPsiJtxEnCk3boppNS0PPlhg.pDuYQd8-JcJ42PzyDlfoFYpZlcLXynsnBHv7lf0arpw&dib_tag=se&keywords=LAPTOPS&qid=1758521778&sprefix=lapto%2Caps%2C300&sr=8-5&linkCode=ll1&tag=afficartzone-21&linkId=f9f11ad6213510156501752f1ccb7906&language=en_IN&ref_=as_li_ss_tl,"HP Professional 15 (2025), Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Backlit/Turbo Silver/1.5kg/MSO 2021","₹49,151.0049,151.00",-34%,
https://www.amazon.in/Lenovo-IdeaPad-i5-13420H-Backlit-83K100CGIN/dp/B0F637DPFW?content-id=amzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%3Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465&crid=DRDUUX0HS8K&cv_ct_cx=LAPTOPS&keywords=LAPTOPS&pd_rd_i=B0F637DPFW&pd_rd_r=cd15ffbc-ff38-4737-8d78-7950bb5a483a&pd_rd_w=iSDer&pd_rd_wg=ebNKR&pf_rd_p=0629fcb0-94ed-4eba-9abe-6c93c227c465&pf_rd_r=M0CJZARXGQXACMMZ4HZ6&qid=1758521778&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=lapto%2Caps%2C300&sr=1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1&linkCode=ll1&tag=afficartzone-21&linkId=616d20f76e9559d639a685644365d976&language=en_IN&ref_=as_li_ss_tl,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN","₹58,850.0058,850.00",-28%,
https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ?content-id=amzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%3Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465&crid=DRDUUX0HS8K&cv_ct_cx=LAPTOPS&keywords=LAPTOPS&pd_rd_i=B0F4R3GFMQ&pd_rd_r=cd15ffbc-ff38-4737-8d78-7950bb5a483a&pd_rd_w=iSDer&pd_rd_wg=ebNKR&pf_rd_p=0629fcb0-94ed-4eba-9abe-6c93c227c465&pf_rd_r=M0CJZARXGQXACMMZ4HZ6&qid=1758521778&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D&sprefix=lapto%2Caps%2C300&sr=1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=afficartzone-21&linkId=ddd574720bcb4c13992570fc2021a661&language=en_IN&ref_=as_li_ss_tl,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","₹37,990.0037,990.00",-28%,
